#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	1.427	999	999	999
999	999	999	999	999	1.429	999	999	999
999	999	999	999	999	1.429	999	999	999
999	999	999	999	999	1.431	999	999	999
999	999	999	999	999	1.455	999	999	999
999	999	999	999	999	1.475	999	999	999
999	999	999	999	999	1.481	999	999	999
999	999	999	999	999	1.481	999	999	999
999	999	999	999	999	1.498	999	999	999
999	999	999	999	999	1.504	999	999	999
999	999	999	999	999	1.511	999	999	999
999	999	999	999	999	1.514	999	999	999
999	999	999	999	999	1.518	999	999	999
999	999	999	999	999	1.52	999	999	999
999	999	999	999	999	1.52	999	999	999
999	999	999	999	999	1.522	999	999	999
999	999	999	999	999	1.522	999	999	999
999	999	999	999	999	1.522	999	999	999
999	999	999	999	999	1.528	999	999	999
999	999	999	999	999	1.543	999	999	999
999	999	999	999	999	1.557	999	999	999
999	999	999	999	999	1.561	999	999	999
999	999	999	999	999	1.578	999	999	999
999	999	999	999	999	1.579	999	999	999
999	999	999	999	999	1.588	999	999	999
999	999	999	999	999	1.589	999	999	999
999	999	999	999	999	1.592	999	999	999
999	999	999	999	999	1.593	999	999	999
999	999	999	999	999	1.617	999	999	999
999	999	999	999	999	1.619	999	999	999
999	999	999	999	999	1.626	999	999	999
999	999	999	999	999	1.63	999	999	999
999	999	999	999	999	1.634	999	999	999
999	999	999	999	999	1.636	999	999	999
999	999	999	999	999	1.637	999	999	999
999	999	999	999	999	1.644	999	999	999
999	999	999	999	999	1.649	999	999	999
999	999	999	999	999	1.652	999	999	999
999	999	999	999	999	1.657	999	999	999
999	999	999	999	999	1.658	999	999	999
999	999	999	999	999	1.664	999	999	999
999	999	999	999	999	1.67	999	999	999
999	999	999	999	999	1.686	999	999	999
999	999	999	999	999	1.694	999	999	999
999	999	999	999	999	1.697	999	999	999
999	999	999	999	999	1.706	999	999	999
999	999	999	999	999	1.731	999	999	999
999	999	999	999	999	1.735	999	999	999
999	999	999	999	999	1.737	999	999	999
999	999	999	999	999	1.742	999	999	999
999	999	999	999	999	1.754	999	999	999
999	999	999	999	999	1.756	999	999	999
999	999	999	999	999	1.764	999	999	999
