wavelength flux fluxe
3.784245350264665831e+03 -9.567275049537980747e-02 1.045863724353349067e+00
3.785324627714672260e+03 3.750194021422755597e+00 1.218891198119269159e+00
3.786405511006106281e+03 8.179657171357850309e-01 1.162025484990867330e+00
3.787483447821980008e+03 5.246872113923311431e+00 1.241209980652122402e+00
3.788563981842696649e+03 3.264351496753465365e-01 9.510961999259054389e-01
3.789642275926383718e+03 3.222157917568090557e+00 1.161654663398350218e+00
3.790721991979135964e+03 4.625988305026856651e+00 1.221180405892821508e+00
3.791801341639937164e+03 2.075630284588182661e+00 1.137701526547368669e+00
3.792881100244964728e+03 2.837756253128253636e+00 1.178972074024084105e+00
3.793960525986501125e+03 1.477314374133179564e+00 1.125369116309736128e+00
3.795041182329799994e+03 -6.906970846522038077e-01 1.079696888704289259e+00
3.796119684981002592e+03 4.547284255265756414e+00 1.227804152547155470e+00
3.797199411999477434e+03 5.734248607384779817e+00 1.274373956080387504e+00
3.798279025960922354e+03 3.442444031580182973e+00 1.175814924234905856e+00
3.799358804209156006e+03 9.101953740293539097e-01 1.020227046269592597e+00
3.800438398477766896e+03 6.284059839824824856e-01 1.069627695917425347e+00
3.801518375365719294e+03 1.599285501617998762e+00 1.044164279620793501e+00
3.802598020635691682e+03 -8.576757459822916818e-01 9.834379986187750111e-01
3.803678028124034427e+03 1.635645079980023731e+00 1.123430993403757183e+00
3.804757728703959856e+03 3.672185010531224592e+00 1.199309775679769707e+00
3.805837593308657688e+03 5.046818576007629176e+00 1.241611512960512975e+00
3.806917591435926624e+03 -3.232036596215866475e-01 1.016283747150859451e+00
3.807997612675580513e+03 7.923802625847260472e-01 1.041940520308026530e+00
3.809077364731271700e+03 -1.847361984431521165e-01 9.802720246466893883e-01
3.810156018136209241e+03 3.620951782944581421e+00 1.166539158071807858e+00
3.811238068591081628e+03 5.275804304739979855e+00 1.188110725271495083e+00
3.812317373662712725e+03 4.082327319854459624e+00 1.192876396470279765e+00
3.813397670731720609e+03 3.158883375768937185e+00 1.168064858569387798e+00
3.814477479137958653e+03 -4.124600765868600138e-01 1.079768805164067036e+00
3.815557647919915325e+03 3.000048143935526213e+00 1.224664487484499409e+00
3.816636378584927570e+03 4.484929913918755062e+00 1.268139679010751308e+00
3.817717997112329158e+03 1.295994381853203592e+00 1.119625225077411912e+00
3.818798089828492266e+03 8.973206874313420789e-01 1.087023989846219951e+00
3.819878291582325346e+03 2.964605917500638288e+00 1.198340281739346924e+00
3.820958503553187256e+03 9.419357636556756619e-01 1.095631133749341179e+00
3.822038771371374878e+03 9.090999917401917374e-01 1.078975138956768998e+00
3.823119150386331057e+03 2.231936944965930980e+00 1.081162111155205885e+00
3.824199358444560858e+03 2.336960476489567284e+00 1.116585179467640465e+00
3.825279785733456265e+03 2.941105195239041237e+00 1.114903667306124557e+00
3.826359976971957167e+03 2.700849705780158150e+00 1.099011814028669987e+00
3.827440665666511450e+03 2.062372259004530139e+00 1.046239673776723889e+00
3.828520919410537317e+03 9.157139129559712654e-01 1.089199400495424408e+00
3.829601875438932439e+03 2.020364451464061961e+00 1.199251293955831521e+00
3.830681777535951824e+03 2.762062558201940909e+00 1.305403844295767835e+00
3.831762311804276578e+03 2.654697633303219728e+00 1.294590546416906962e+00
