wavelength flux unc
3.917074939223776255e+03 7.861042129970734096e-17 1.392734254395128354e-17
3.918390855309181461e+03 8.159023026858876616e-17 1.380825335116202414e-17
3.919706771394586667e+03 8.211523849465372261e-17 1.353628794628316439e-17
3.921022687479991873e+03 8.546402295629300155e-17 1.337246069006397449e-17
3.922338603565397534e+03 7.008459131678447963e-17 1.313812703997260217e-17
3.923654519650802740e+03 7.468369567024461223e-17 1.325421522149951918e-17
3.924970435736207946e+03 7.775462023795997853e-17 1.326455994224010735e-17
3.926286351821613152e+03 7.274841729167064825e-17 1.275638815036305522e-17
3.927602267907018359e+03 7.738232940530701226e-17 1.253189877674167649e-17
3.928918183992424019e+03 7.468763966740526506e-17 1.225871079891746335e-17
3.930234100077829225e+03 7.557290821129421655e-17 1.184708504659576296e-17
3.931550016163234432e+03 5.966201633694282456e-17 1.145500060906501529e-17
3.932865932248639638e+03 5.999213419324538727e-17 1.120999219316864615e-17
3.934181848334044844e+03 7.096387769048344762e-17 1.125813410481923236e-17
3.935497764419450505e+03 6.857577417481835460e-17 1.133323052391047153e-17
3.936813680504855711e+03 6.127535602111115016e-17 1.138974350336009438e-17
3.938129596590260917e+03 6.715320880968435888e-17 1.188468123261691062e-17
3.939445512675666123e+03 6.598043213720667624e-17 1.222062326761245919e-17
3.940761428761071329e+03 6.753041640389834035e-17 1.246244951969233684e-17
3.942077344846476990e+03 8.159309562223064985e-17 1.274556118332534864e-17
3.943393260931882196e+03 6.023549072945848801e-17 1.250357280384541061e-17
3.944709177017287402e+03 7.301703261506866825e-17 1.277973615033297698e-17
3.946025093102692608e+03 6.906702681444624710e-17 1.278193645076236803e-17
3.947341009188097814e+03 6.508893657766642556e-17 1.291415382705345653e-17
3.948656925273503475e+03 7.237492208404580477e-17 1.288282022544994784e-17
3.949972841358908681e+03 6.771700849775560212e-17 1.294922628502570490e-17
3.951288757444313887e+03 4.987803471615945749e-17 1.260041166533760611e-17
3.952604673529719093e+03 7.062815485835022560e-17 1.280852038128859724e-17
3.953920589615124300e+03 7.215102083583995124e-17 1.274480927614853794e-17
3.955236505700529960e+03 6.299090875921142829e-17 1.255448246182559925e-17
3.956552421785935167e+03 7.150970439820513867e-17 1.264120738596810888e-17
3.957868337871340373e+03 8.351022234944275018e-17 1.278400605665497571e-17
3.959184253956745579e+03 7.590025335818350151e-17 1.269521152661985840e-17
3.960500170042150785e+03 7.625121616592240052e-17 1.238297896952191725e-17
3.961816086127556446e+03 7.400630092301268680e-17 1.203522231383727378e-17
3.963132002212961652e+03 6.824101748964059451e-17 1.166993852815324421e-17
3.964447918298366858e+03 5.738423886265760416e-17 1.126395828351221823e-17
3.965763834383772064e+03 6.248884983206114303e-17 1.098153648851007565e-17
3.967079750469177270e+03 8.174814235624758936e-17 1.111013246807940699e-17
3.968395666554582931e+03 5.052634910177646868e-17 9.392457184527317794e-18
3.969711582639988137e+03 2.634904101076619546e-17 8.526745671860957537e-18
3.971027498725393343e+03 7.294847588590027332e-17 1.098043551111476757e-17
3.972343414810798549e+03 8.025458504222184259e-17 1.146337167686405193e-17
3.973659330896204210e+03 7.170139192463572710e-17 1.163745928140134958e-17
3.974975246981609416e+03 7.197047708662167721e-17 1.177954409521958314e-17
3.976291163067014622e+03 7.794436885303474265e-17 1.220366523787450957e-17
3.977607079152419828e+03 7.410349795371011777e-17 1.241806714392580414e-17
3.978922995237825035e+03 7.190587758950373596e-17 1.231980139587695466e-17
3.980238911323230695e+03 7.892946817069149395e-17 1.258708247694692662e-17
3.981554827408635902e+03 7.139602331226075098e-17 1.261416767892436296e-17
3.982870743494041108e+03 7.103041609895721317e-17 1.244984411433764125e-17
3.984186659579446314e+03 7.467208867188926814e-17 1.242066200950738298e-17
3.985502575664851520e+03 6.673330546097284034e-17 1.229204369606151271e-17
3.986818491750257181e+03 7.176957145944479785e-17 1.258671769029679074e-17
3.988134407835662387e+03 7.290398018638982085e-17 1.257706118382584669e-17
3.989450323921067593e+03 6.608129523237894223e-17 1.247066176881376329e-17
3.990766240006472799e+03 6.904714139252047232e-17 1.243919581831224612e-17
3.992082156091878005e+03 6.803024525211718264e-17 1.247812211075837905e-17
3.993398072177283666e+03 7.447046174321824254e-17 1.259375037986471658e-17
3.994713988262688872e+03 6.812336593675595228e-17 1.236627322987079631e-17
3.996029904348094078e+03 6.931348693231764680e-17 1.229416375997148612e-17
3.997345820433499284e+03 6.511269320485894851e-17 1.227851350278198284e-17
3.998661736518904945e+03 7.896350168981437572e-17 1.261729194009797575e-17
3.999977652604310151e+03 6.920872616209903096e-17 1.248271048161621070e-17
4.001293568689715357e+03 6.484643369184547954e-17 1.238544893083100060e-17
4.002609484775120563e+03 6.376487849732014480e-17 1.231679128562787419e-17
4.003925400860525770e+03 6.858008874889343119e-17 1.225536981642336168e-17
4.005241316945931430e+03 7.431969649605187750e-17 1.217893005601733639e-17
4.006557233031336636e+03 7.069192055741071339e-17 1.211408488625746689e-17
4.007873149116741843e+03 5.892693070506900077e-17 1.212958790529793573e-17
4.009189065202147049e+03 7.837236533685948002e-17 1.253419089421906093e-17
4.010504981287552255e+03 6.816502275240412276e-17 1.252427961611945055e-17
4.011820897372957916e+03 6.413673919605458349e-17 1.244943796865687771e-17
4.013136813458363122e+03 6.380513903209432576e-17 1.222028908664498777e-17
4.014452729543768328e+03 6.236374041877372270e-17 1.215032449607402758e-17
4.015768645629173534e+03 6.017427274668466354e-17 1.216106295478619099e-17
4.017084561714578740e+03 7.970274969453056634e-17 1.237164990385239099e-17
4.018400477799984401e+03 7.652519823713466456e-17 1.232484471607169047e-17
4.019716393885389607e+03 6.967685744924484123e-17 1.227456785126010489e-17
4.021032309970794813e+03 6.321999146677431398e-17 1.211783201443233210e-17
4.022348226056200019e+03 5.507637186641015483e-17 1.190432015472014460e-17
4.023664142141605225e+03 5.736839008212108815e-17 1.207397986143844590e-17
4.024980058227010886e+03 6.478105333622928824e-17 1.217720703880138843e-17
4.026295974312416092e+03 7.688270569788008312e-17 1.226791070169027813e-17
4.027611890397821298e+03 8.421397437971306528e-17 1.226627867434171100e-17
4.028927806483226504e+03 7.726939609063637250e-17 1.196636449092590955e-17
4.030243722568631711e+03 6.493030318851345612e-17 1.173134841682918098e-17
4.031559638654037371e+03 7.339199689546140591e-17 1.169733226849916283e-17
4.032875554739442578e+03 6.344246996432657631e-17 1.149281682512910205e-17
4.034191470824847784e+03 5.939498258287600595e-17 1.129354487966201492e-17
4.035507386910252990e+03 6.607457852580501164e-17 1.168679729621768747e-17
4.036823302995658196e+03 6.637689649608089219e-17 1.180270101646800515e-17
4.038139219081063857e+03 6.120228619452066591e-17 1.166933303194485539e-17
4.039455135166469063e+03 5.766404428538224151e-17 1.180336027941620991e-17
4.040771051251874269e+03 7.019348799006586061e-17 1.195437864385001618e-17
4.042086967337279475e+03 6.500329360576513529e-17 1.175020648043416491e-17
4.043402883422684681e+03 6.082245809212611645e-17 1.153090849233716898e-17
4.044718799508090342e+03 6.840450808335047533e-17 1.165706263473824378e-17
4.046034715593495548e+03 6.945620536648509599e-17 1.177292830468038403e-17
4.047350631678900754e+03 5.738644908925434585e-17 1.177262969247925238e-17
4.048666547764305960e+03 5.844066100145112771e-17 1.179991672652615166e-17
4.049982463849711166e+03 5.382987024029684594e-17 1.156299317393687581e-17
4.051298379935116827e+03 7.096051602847403212e-17 1.172622237857318987e-17
4.052614296020522033e+03 7.928874248922532578e-17 1.172678651575095104e-17
4.053930212105927239e+03 7.018487207680550828e-17 1.144494126563575792e-17
4.055246128191332446e+03 5.873019406817938867e-17 1.113144725810367341e-17
4.056562044276738106e+03 6.264838981116547059e-17 1.112096853410385165e-17
4.057877960362143313e+03 6.404560374488594112e-17 1.104822296231348818e-17
4.059193876447548519e+03 6.845749396466817207e-17 1.125205763603941782e-17
4.060509792532953725e+03 7.814203193221041415e-17 1.146164783246749142e-17
4.061825708618358931e+03 6.898618149009776439e-17 1.123683585840721700e-17
4.063141624703764592e+03 6.441945629453540751e-17 1.109227115711254946e-17
4.064457540789169798e+03 6.570753532695808178e-17 1.099417167236682314e-17
4.065773456874575004e+03 6.960093550390227413e-17 1.117854692218244280e-17
4.067089372959980210e+03 6.680524370448535205e-17 1.123861181518236835e-17
4.068405289045385416e+03 6.617863784686418252e-17 1.120268570681796525e-17
4.069721205130791077e+03 6.849746994931163479e-17 1.121791658343690415e-17
4.071037121216196283e+03 6.249951715324062688e-17 1.104693752364158078e-17
4.072353037301601489e+03 5.974354325811605097e-17 1.090303952992063098e-17
4.073668953387006695e+03 7.064028463485270319e-17 1.117509675184748412e-17
4.074984869472411901e+03 6.983784664878236168e-17 1.117164906305436310e-17
4.076300785557817562e+03 5.979012345277013706e-17 1.083653255431014245e-17
4.077616701643222768e+03 6.439314533361132080e-17 1.079160010343626199e-17
4.078932617728627974e+03 6.335830930008298106e-17 1.084609558937186800e-17
4.080248533814033181e+03 5.473985163216643168e-17 1.089250207609731796e-17
4.081564449899438841e+03 7.372925497481152635e-17 1.119614849843695868e-17
4.082880365984844047e+03 8.067548100766842476e-17 1.115666551343857756e-17
4.084196282070249254e+03 6.264662957082195774e-17 1.079443485139548121e-17
4.085512198155654460e+03 6.397852932337524121e-17 1.085880191076129506e-17
4.086828114241059666e+03 6.491053026315098855e-17 1.098205678511537150e-17
4.088144030326465327e+03 7.058725904886560391e-17 1.105700431169635113e-17
4.089459946411870533e+03 6.271297607339361099e-17 1.087652177384340602e-17
4.090775862497275739e+03 5.514465066289273194e-17 1.077151450380224937e-17
4.092091778582680945e+03 6.835162808115118538e-17 1.117601574950803054e-17
4.093407694668086151e+03 3.003713495967472635e-17 7.718626609343601832e-18
4.094723610753491812e+03 3.826416745300873282e-17 8.459419787444041509e-18
4.096039526838896563e+03 7.174676774431793598e-17 1.091648038769400513e-17
4.097355442924302224e+03 6.605494456678545298e-17 1.049748032021139449e-17
4.098671359009707885e+03 6.521686502248142661e-17 1.037579543465994369e-17
4.099987275095112636e+03 6.637490464516586450e-17 1.014927533263474728e-17
4.101303191180518297e+03 6.333704083217301761e-17 9.962357329616139612e-18
4.102619107265923049e+03 7.186990515902502989e-17 1.010397313202705561e-17
