wavelength flux err
3.798000000000000000e+03 6.148310999739164950e-01 2.390782154358933945e-02
3.799000000000000000e+03 5.818765333345633506e-01 2.431863895916717630e-02
3.800000000000000000e+03 5.949720775342401957e-01 2.452664447330637001e-02
3.801000000000000000e+03 6.242107669335978937e-01 2.450492244153101504e-02
3.802000000000000000e+03 5.979807662980183292e-01 2.381835729101965810e-02
3.803000000000000000e+03 5.572249008016341154e-01 2.403347834580009737e-02
3.804000000000000000e+03 5.678580225630895928e-01 2.379591695134247037e-02
3.805000000000000000e+03 5.707140296656711964e-01 2.391789062388995427e-02
3.806000000000000000e+03 5.839310078138552074e-01 2.410245979153528839e-02
3.807000000000000000e+03 5.809113427315758527e-01 2.401305343479831142e-02
3.808000000000000000e+03 5.765863983766915668e-01 2.337932631560913146e-02
3.809000000000000000e+03 5.445395689559572316e-01 2.355256708019159637e-02
3.810000000000000000e+03 5.697469865098757635e-01 2.375137195645654620e-02
3.811000000000000000e+03 5.715586286913236780e-01 2.367297856690158547e-02
3.812000000000000000e+03 5.553907852937781664e-01 2.372778389530678586e-02
3.813000000000000000e+03 5.727121630972306088e-01 2.411200482908035583e-02
3.814000000000000000e+03 5.866779690840963069e-01 2.390427648759356136e-02
3.815000000000000000e+03 5.596111812256568951e-01 2.340758345005465244e-02
3.816000000000000000e+03 5.649546697078322577e-01 2.362913317977169414e-02
3.817000000000000000e+03 5.917781255793739259e-01 2.392850333801887705e-02
3.818000000000000000e+03 5.733976896828781866e-01 2.344394612510946815e-02
3.819000000000000000e+03 5.849172881656228284e-01 2.354469590820551864e-02
3.820000000000000000e+03 6.076848156925211963e-01 2.345303781261458276e-02
3.821000000000000000e+03 6.026992383441428514e-01 2.358368006472667117e-02
3.822000000000000000e+03 6.037769791800803310e-01 2.323956533991440240e-02
3.823000000000000000e+03 5.918685270660375419e-01 2.279541026739333870e-02
3.824000000000000000e+03 5.601618606203676576e-01 2.255795827106766779e-02
3.825000000000000000e+03 5.550618011289045750e-01 2.318782536006425837e-02
3.826000000000000000e+03 5.701571993722044374e-01 2.249668186416191318e-02
3.827000000000000000e+03 5.544336389653560238e-01 2.291387345942673404e-02
3.828000000000000000e+03 6.002942607548162890e-01 2.328918606792450621e-02
3.829000000000000000e+03 6.134878939638856998e-01 2.336397699079011472e-02
3.830000000000000000e+03 6.027610815823315482e-01 2.309540181344594753e-02
