wavelength flux fluxe
3761.3155 3.826033e+00 9.533345e+00
3763.0024 -1.718414e+00 9.385810e+00
3764.6893 1.738836e+01 9.414957e+00
3766.3762 4.062911e+00 8.149160e+00
3768.0631 -7.105484e+00 8.983103e+00
3769.7500 7.416593e+00 8.922728e+00
3771.4369 2.488006e+01 9.009737e+00
3773.1237 1.528837e+01 8.753736e+00
3774.8106 2.940016e+00 8.668686e+00
3776.4975 1.138577e+01 8.509830e+00
3778.1844 3.171918e+00 8.389404e+00
3779.8713 4.243975e+00 8.303546e+00
3781.5582 3.243670e+00 8.221856e+00
3783.2451 1.792715e+00 8.080720e+00
3784.9320 4.990792e+00 7.941001e+00
3786.6189 -9.589874e+00 7.723383e+00
3788.3058 8.459941e+00 7.863980e+00
3789.9927 9.789487e+00 6.757768e+00
3791.6795 -1.529740e+00 7.611278e+00
3793.3664 -2.700936e+00 7.516972e+00
3795.0533 -4.780664e-01 7.536176e+00
3796.7402 -1.067741e+01 7.275065e+00
3798.4271 4.815022e+00 7.323637e+00
3800.1140 9.426715e+00 7.288586e+00
3801.8009 5.401587e+00 7.223685e+00
3803.4878 -4.682174e+00 6.227275e+00
3805.1747 3.657513e+00 6.978037e+00
3806.8616 8.103284e+00 6.957316e+00
3808.5485 1.099180e+01 6.930591e+00
3810.2353 2.557332e+00 6.769007e+00
3811.9222 -1.759446e+00 6.751532e+00
3813.6091 4.918691e+00 6.723575e+00
3815.2960 6.256569e+00 6.713126e+00
3816.9829 8.105339e+00 6.622982e+00
3818.6698 8.809177e+00 6.716178e+00
3820.3567 2.232660e+00 6.501492e+00
3822.0436 5.282090e+00 6.697994e+00
3823.7305 1.057206e+01 6.613896e+00
3825.4174 6.195146e+00 6.565597e+00
3827.1043 6.890992e+00 5.933740e+00
3828.7912 3.925481e+00 5.811101e+00
3830.4780 -4.971118e+00 6.160206e+00
3832.1649 4.047534e+00 6.214802e+00
3833.8518 2.553166e+00 6.086957e+00
3835.5387 1.428279e+01 6.162015e+00
3837.2256 6.555843e+00 6.063808e+00
3838.9125 1.782172e+00 5.881774e+00
3840.5994 -8.805041e-01 5.784772e+00
3842.2863 8.446075e+00 5.138038e+00
3843.9732 4.728148e+00 5.719398e+00
3845.6601 1.002557e+01 5.717188e+00
3847.3470 -3.011976e+00 5.550735e+00
3849.0338 3.542144e+00 5.529520e+00
3850.7207 1.290591e+01 5.576906e+00
3852.4076 1.067581e+01 7.485078e+00
3854.0945 5.019129e+00 7.348084e+00
3855.7814 2.029599e+01 7.448161e+00
3857.4683 3.648977e+00 7.152728e+00
3859.1552 2.708717e+00 6.993615e+00
3860.8421 1.037551e+01 5.497411e+00
3862.5290 7.427155e+00 5.046515e+00
3864.2159 1.879894e+00 4.871995e+00
3865.9028 5.233110e+00 4.851793e+00
3867.5896 6.135980e+00 4.366638e+00
3869.2765 5.063125e+00 4.498993e+00
3870.9634 -1.699946e+00 4.657278e+00
3872.6503 1.172104e+01 4.684859e+00
3874.3372 3.096929e+00 4.645794e+00
3876.0241 8.645621e+00 4.588810e+00
3877.7110 5.120816e+00 4.561932e+00
3879.3979 7.052666e+00 4.571150e+00
3881.0848 6.893410e+00 4.517830e+00
3882.7717 3.995794e+00 3.804340e+00
3884.4586 -1.443842e+00 4.371504e+00
3886.1455 9.481977e+00 4.393584e+00
3887.8323 -1.924851e+00 4.308872e+00
3889.5192 1.153730e+01 4.396530e+00
3891.2061 4.171944e+00 4.293581e+00
3892.8930 1.286693e+00 4.292545e+00
3894.5799 5.398207e+00 4.279852e+00
3896.2668 3.362290e+00 4.216607e+00
