wavelength flux unc
4.700000000000000000e+03 3.925727680325508118e-03 2.053252421319484711e-03
4.701000000000000000e+03 -1.402643159963190556e-03 2.060674596577882767e-03
4.702000000000000000e+03 5.652865394949913025e-03 2.069401554763317108e-03
4.703000000000000000e+03 1.194224599748849869e-02 2.186102559790015221e-03
4.704000000000000000e+03 1.123424433171749115e-02 2.045967848971486092e-03
4.705000000000000000e+03 5.140271969139575958e-03 2.016104990616440773e-03
4.706000000000000000e+03 6.462464574724435806e-03 2.039478160440921783e-03
4.707000000000000000e+03 1.197402831166982651e-02 2.084193285554647446e-03
4.708000000000000000e+03 6.751644890755414963e-03 2.073142211884260178e-03
4.709000000000000000e+03 1.188405882567167282e-02 2.071693073958158493e-03
4.710000000000000000e+03 4.698667209595441818e-03 2.054442418739199638e-03
4.711000000000000000e+03 2.607844537124037743e-03 1.993087120354175568e-03
4.712000000000000000e+03 1.102118054404854774e-03 2.052195370197296143e-03
4.713000000000000000e+03 6.810636841692030430e-04 1.998846419155597687e-03
4.714000000000000000e+03 2.824185183271765709e-03 2.007326809689402580e-03
4.715000000000000000e+03 3.774322569370269775e-03 2.006654394790530205e-03
4.716000000000000000e+03 1.154490560293197632e-02 2.006409922614693642e-03
4.717000000000000000e+03 9.684135206043720245e-03 1.986000919714570045e-03
4.718000000000000000e+03 7.174383848905563354e-03 1.927684759721159935e-03
4.719000000000000000e+03 3.104991046711802483e-03 1.921217772178351879e-03
4.720000000000000000e+03 3.401524620130658150e-03 1.906774938106536865e-03
4.721000000000000000e+03 1.786450855433940887e-03 1.930751022882759571e-03
4.722000000000000000e+03 3.488197224214673042e-03 1.959193963557481766e-03
4.723000000000000000e+03 8.337326347827911377e-03 1.937235356308519840e-03
4.724000000000000000e+03 1.193730044178664684e-03 1.954534556716680527e-03
4.725000000000000000e+03 4.394697491079568863e-03 1.947168726474046707e-03
4.726000000000000000e+03 -3.370942722540348768e-04 1.918958034366369247e-03
4.727000000000000000e+03 4.622360225766897202e-03 1.953751314431428909e-03
4.728000000000000000e+03 4.762739874422550201e-03 1.902582356706261635e-03
4.729000000000000000e+03 2.081484708469361067e-04 1.908698468469083309e-03
4.730000000000000000e+03 1.988696167245507240e-03 1.896128407679498196e-03
4.731000000000000000e+03 6.484014913439750671e-03 1.929022721014916897e-03
4.732000000000000000e+03 8.746086619794368744e-03 1.885965350084006786e-03
4.733000000000000000e+03 2.306565409526228905e-03 1.937867957167327404e-03
4.734000000000000000e+03 -2.063546795397996902e-03 1.910167396999895573e-03
4.735000000000000000e+03 2.878254279494285583e-03 1.922355382703244686e-03
4.736000000000000000e+03 8.647023700177669525e-03 1.880234922282397747e-03
4.737000000000000000e+03 8.299416862428188324e-03 1.913346466608345509e-03
4.738000000000000000e+03 6.982813589274883270e-03 1.893587759695947170e-03
4.739000000000000000e+03 7.482219021767377853e-03 1.886199694126844406e-03
4.740000000000000000e+03 2.371329814195632935e-03 1.869692467153072357e-03
4.741000000000000000e+03 4.986284766346216202e-03 1.843489706516265869e-03
4.742000000000000000e+03 6.312652491033077240e-03 1.856445451267063618e-03
4.743000000000000000e+03 3.754189237952232361e-03 1.848144223913550377e-03
4.744000000000000000e+03 8.353340439498424530e-03 1.886780024506151676e-03
4.745000000000000000e+03 4.848868586122989655e-03 1.832856447435915470e-03
4.746000000000000000e+03 1.786979380995035172e-03 1.861088210716843605e-03
4.747000000000000000e+03 3.362451447173953056e-03 1.831225818023085594e-03
4.748000000000000000e+03 1.687096548266708851e-03 1.815041410736739635e-03
4.749000000000000000e+03 7.769655436277389526e-03 1.836054958403110504e-03
4.750000000000000000e+03 4.557527136057615280e-03 1.778567442670464516e-03
4.751000000000000000e+03 4.135053604841232300e-03 1.828623819164931774e-03
4.752000000000000000e+03 5.892124492675065994e-03 1.786906155757606030e-03
4.753000000000000000e+03 6.376998964697122574e-03 1.784610678441822529e-03
4.754000000000000000e+03 2.482808660715818405e-03 1.800527912564575672e-03
4.755000000000000000e+03 7.598221302032470703e-03 1.781874219886958599e-03
4.756000000000000000e+03 4.152833484113216400e-03 1.808410277590155602e-03
4.757000000000000000e+03 6.588631309568881989e-03 1.818367978557944298e-03
4.758000000000000000e+03 2.352217212319374084e-03 1.785238971933722496e-03
4.759000000000000000e+03 2.318824175745248795e-03 1.741833053529262543e-03
4.760000000000000000e+03 2.642446430400013924e-03 1.802577753551304340e-03
4.761000000000000000e+03 4.860839340835809708e-03 1.728447969071567059e-03
4.762000000000000000e+03 4.923063796013593674e-03 1.738658756949007511e-03
4.763000000000000000e+03 8.605923503637313843e-03 1.773474272340536118e-03
