#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	FB13_UV	FB13_IR	SLSNe	K12CCSN	Ca-rich	F22_OPT
999	999	999	999	999	999	1.5	999	999
999	999	999	999	999	999	2.39	999	999
999	999	999	999	999	999	2.54	999	999
999	999	999	999	999	999	1.43	999	999
999	999	999	999	999	999	1.58	999	999
999	999	999	999	999	999	0.72	999	999
999	999	999	999	999	999	0.87	999	999
999	999	999	999	999	999	0.96	999	999
999	999	999	999	999	999	0.76	999	999
999	999	999	999	999	999	0.91	999	999
999	999	999	999	999	999	0.73	999	999
999	999	999	999	999	999	0.81	999	999
999	999	999	999	999	999	1.34	999	999
999	999	999	999	999	999	1.34	999	999
999	999	999	999	999	999	0.19	999	999
999	999	999	999	999	999	1.98	999	999
999	999	999	999	999	999	1.09	999	999
999	999	999	999	999	999	1.1	999	999
999	999	999	999	999	999	8.77	999	999
999	999	999	999	999	999	5.55	999	999
999	999	999	999	999	999	0.94	999	999
999	999	999	999	999	999	0.73	999	999
999	999	999	999	999	999	0.22	999	999
999	999	999	999	999	999	0.82	999	999
999	999	999	999	999	999	1.33	999	999
999	999	999	999	999	999	0.55	999	999
999	999	999	999	999	999	1.37	999	999
999	999	999	999	999	999	0.61	999	999
999	999	999	999	999	999	0.41	999	999
999	999	999	999	999	999	0.56	999	999
999	999	999	999	999	999	2.15	999	999
999	999	999	999	999	999	1.83	999	999
999	999	999	999	999	999	1.24	999	999
999	999	999	999	999	999	0.8	999	999
999	999	999	999	999	999	1.21	999	999
999	999	999	999	999	999	0.87	999	999
999	999	999	999	999	999	1.14	999	999
999	999	999	999	999	999	0.51	999	999
999	999	999	999	999	999	1.42	999	999
999	999	999	999	999	999	1.5	999	999
999	999	999	999	999	999	0.77	999	999
999	999	999	999	999	999	1.3	999	999
999	999	999	999	999	999	0.65	999	999
999	999	999	999	999	999	1.77	999	999
999	999	999	999	999	999	1.93	999	999
999	999	999	999	999	999	0.83	999	999
999	999	999	999	999	999	0.36	999	999
999	999	999	999	999	999	0.88	999	999
999	999	999	999	999	999	0.45	999	999
