Host           band    mag     magerr   system      extinction      source      ref
ASAS-SN14kg       z     14.00  0.01  std no  PS1                               (4) 
ASAS-SN14kg       y     13.89  0.02  std no  PS1                               (4) 
ASAS-SN14kg       J     12.69  0.04  std no  2MASS                             (5) 
ASAS-SN14kg       H     11.91  0.06  std no  2MASS                             (5) 
ASAS-SN14kg       Ks    11.70  0.07  std no  2MASS                             (5)
ASAS-SN14ma       u     19.07  0.08  std no  SDSS                              (6)
ASAS-SN14ma       g     17.20  0.05  std no  PS1                               (4) 
ASAS-SN14ma       r     16.59  0.09  std no  PS1                               (4) 
ASAS-SN14ma       i     16.33  0.06  std no  PS1                               (4) 
ASAS-SN14ma       z     16.31  0.05  std no  PS1                               (4) 
ASAS-SN14ma       y     16.11  0.10  std no  PS1                               (4) 
ASAS-SN14ms       NUV   22.75  0.39  std no  GALEX                             (3) 
ASAS-SN14ms       u     22.38  0.30  std no  SDSS                              (6)    
ASAS-SN14ms       g     21.46  0.19  std no  PS1                               (4)     
ASAS-SN14ms       r     21.40  0.16  std no  PS1                               (4)  
ASAS-SN14ms       i     21.07  0.21  std no  PS1                               (4)  
ASAS-SN14ms       z     20.84  0.29  std no  PS1                               (4)
ASAS-SN14ms       y     20.69  0.47  std no  PS1                               (4)
ASAS-SN15bd       u     17.77  0.03  std no  SDSS                              (1)  
ASAS-SN15bd       g     16.83  0.01  std no  SDSS                              (1)  
ASAS-SN15bd       r     16.42  0.01  std no  SDSS                              (1)  
ASAS-SN15bd       i     16.23  0.01  std no  SDSS                              (1)  
ASAS-SN15bd       z     16.17  0.03  std no  SDSS                              (1)  
ASAS-SN15bd       J     15.29  0.08  std no  2MASS                             (2) 
ASAS-SN15bd       H     14.45  0.09  std no  2MASS                             (2)
ASAS-SN15ed       NUV   17.71  0.02  std no  GALEX                             (3)
ASAS-SN15ed       u     16.60  0.06  std no  SDSS                              (6)
ASAS-SN15ed       g     15.18  0.01  std no  PS1                               (4) 
ASAS-SN15ed       r     14.51  0.01  std no  PS1                               (4) 
ASAS-SN15ed       i     14.20  0.01  std no  PS1                               (4) 
ASAS-SN15ed       z     13.93  0.01  std no  PS1                               (4) 
ASAS-SN15ed       y     13.81  0.02  std no  PS1                               (4) 
ASAS-SN15ed       J     13.05  0.06  std no  2MASS                             (5) 
ASAS-SN15ed       H     12.43  0.08  std no  2MASS                             (5) 
ASAS-SN15ed       Ks    11.91  0.11  std no  2MASS                             (5)
ASAS-SN15fi       FUV   16.74  0.05  std no  GALEX                             (1)  
ASAS-SN15fi       NUV   16.27  0.02  std no  GALEX                             (1)  
ASAS-SN15fi       u     15.64  0.07  std no  PS1                               (1)  
ASAS-SN15fi       g     14.83  0.01  std no  PS1                               (1)  
ASAS-SN15fi       r     14.62  0.01  std no  PS1                               (1)  
ASAS-SN15fi       i     14.55  0.01  std no  PS1                               (1)  
ASAS-SN15fi       z     14.42  0.01  std no  PS1                               (1)  
ASAS-SN15fi       J     13.75  0.05  std no  2MASS                             (2) 
ASAS-SN15fi       H     13.25  0.06  std no  2MASS                             (2) 
ASAS-SN15fi       Ks    13.04  0.09  std no  2MASS                             (2)
ASAS-SN15fz       FUV   15.89  0.07  std no  GALEX                             (1)  
ASAS-SN15fz       NUV   15.34  0.02  std no  GALEX                             (1)  
ASAS-SN15fz       u     14.72  0.03  std no  PS1                               (1)  
ASAS-SN15fz       g     13.52  0.01  std no  PS1                               (1)  
ASAS-SN15fz       r     12.96  0.01  std no  PS1                               (1)  
ASAS-SN15fz       i     12.64  0.01  std no  PS1                               (1)  
ASAS-SN15fz       z     12.45  0.01  std no  PS1                               (1)  
ASAS-SN15fz       J     11.33  0.03  std no  2MASS                             (2) 
ASAS-SN15fz       H     10.64  0.04  std no  2MASS                             (2) 
ASAS-SN15fz       Ks    10.39  0.06  std no  2MASS                             (2)
ASAS-SN15ik       NUV   19.89  0.03  std no  GALEX                             (3)   
ASAS-SN15ik       u     19.26  0.06  std no  SDSS                              (6)
ASAS-SN15ik       g     18.19  0.02  std no  PS1                               (4)    
ASAS-SN15ik       r     17.98  0.01  std no  PS1                               (4)
ASAS-SN15ik       i     17.85  0.01  std no  PS1                               (4)
ASAS-SN15ik       z     17.79  0.01  std no  PS1                               (4)
