Host           band    mag     magerr   system      extinction      source      ref
SLSN-I_SN2005ap   J     23.59  0.07  AB  yes Magellan/FourStar                 (9) 
SLSN-I_SN2007bi   F336W 23.83  0.28  AB  no  HST/WFC3                          (10)
SLSN-I_SN2007bi   g     23.34  0.26  AB  no  2.2m_MPG/GROND                    (4)
SLSN-I_SN2007bi   r     22.67  0.15  AB  no  2.2m_MPG/GROND                    (4)
SLSN-I_SN2007bi   r     22.48  0.07  AB  no  NOT/ALFOSC                        (4)
SLSN-I_SN2007bi   F160W 22.07  0.18  AB  no  HST/WFC3                          (10)
SLSN-I_SN2007bi   i     22.71  0.28  AB  no  2.2m_MPG/GROND                    (4)
SLSN-I_SN2007bi   i     22.49  0.10  AB  no  NOT/ALFOSC                        (4)
SLSN-I_SN2007bi   z     22.54  0.19  AB  no  2.2m_MPG/GROND                    (4)
SLSN-I_SN2007bi   z     22.91  0.35  AB  no  Magellan/IMACS                    (4)
SLSN-I_SN2007bi   J     22.87  0.29  AB  no  Magellan/FourStar                 (4)
SLSN-I_SN2007bi   Ks    22.61  0.23  AB  no  Magellan/FourStar                 (4)
SLSN-I_SN2010kd   NUV   22.84  0.53  AB  no  GALEX                             (7)
SLSN-I_SN2010kd   UVU   22.91  0.37  AB  no  Swift/UVOT                        (4)
SLSN-I_SN2010kd   g     22.84  0.05  AB  no  NOT/ALFOSC                        (4)
SLSN-I_SN2010kd   r     22.46  0.03  AB  no  GTC/Osiris                        (4)
SLSN-I_SN2010kd   i     22.55  0.05  AB  no  NOT/ALFOSC                        (4) 
SLSN-I_SN2011ep   NUV   22.54  0.41  AB  no  GALEX                             (7)
SLSN-I_SN2011ep   g     22.62  0.23  AB  no  SDSS                              (4)
SLSN-I_SN2011ep   r     22.75  0.35  AB  no  SDSS                              (4)
SLSN-I_SN2011kf   F336W 24.51  0.38  AB  no  HST/WFC3                          (10)
SLSN-I_SN2011kf   g     23.74  0.07  AB  yes Magellan/IMACS                    (9)
SLSN-I_SN2011kf   r     23.15  0.12  AB  yes Magellan/IMACS                    (9)
SLSN-I_SN2011kf   i     23.65  0.33  AB  yes MMT/MMTCam                        (9)  
SLSN-I_SN2011kf   F160W 24.06  0.40  AB  no  HST/WFC3                          (10)
SLSN-I_SN2011kf   B     24.22  0.06  AB  no  VLT/FORS2                         (4)
SLSN-I_SN2011kf   R     23.46  0.08  AB  no  VLT/FORS2                         (4)
SLSN-I_SN2011kf   I     23.37  0.14  AB  no  VLT/FORS2                         (4)
SLSN-I_SN2011kf   zGunn 23.45  0.34  AB  no  VLT/FORS2                         (4)
SLSN-I_SN2011kf   J     24.37  0.44  AB  no  VLT/HAWK-I                        (4)
SLSN-I_SN2011kf   Ks    23.95  0.43  AB  no  VLT/HAWK-I                        (4)
SLSN-I_SN2012il   F336W 22.78  0.06  AB  no  HST/WFC3                          (10) 
SLSN-I_SN2012il   g     21.85  0.09  AB  no  SDSS                              (4)
SLSN-I_SN2012il   i     21.62  0.16  AB  no  SDSS                              (4)
SLSN-I_SN2012il   F160W 21.82  0.06  AB  no  HST/WFC3                          (10) 
SLSN-I_SN2012il   r     21.62  0.03  AB  no  Magellan/IMACS                    (4)
SLSN-I_SN2012il   z     21.50  0.35  AB  no  SDSS                              (4)
SLSN-I_SN2012il   J     21.78  0.11  AB  yes Magellan/FourStar                 (9)
SLSN-I_SN2012il   Ks    21.90  0.20  AB  yes Magellan/FourStar                 (9)  
SLSN-I_SN2013dg   g     26.49  0.95  AB  no  Magellan/IMACS                    (4) 
SLSN-I_SN2013dg   r     25.93  0.67  AB  no  Magellan/IMACS                    (4) 
SLSN-I_SN2013dg   i     25.21  0.73  AB  no  Magellan/IMACS                    (4) 
SLSN-I_SN2015bn   NUV   23.62  0.59  AB  no  GALEX                             (7)
SLSN-I_SN2015bn   g     22.42  0.15  AB  no  SDSS                              (4)
SLSN-I_SN2015bn   r     22.81  0.31  AB  no  SDSS                              (4)
SLSN-I_SN2015bn   i     21.74  0.21  AB  no  SDSS                              (4)
SLSN-I_SN2015bn   z     21.09  0.41  AB  no  SDSS                              (4)
SLSN-I_SSS120810  UVM2  23.02  0.17  AB  no  Swift/UVOT                        (4)
SLSN-I_SSS120810  g     22.71  0.10  AB  no  VLT/FORS2                         (4)
SLSN-I_SSS120810  R     22.61  0.06  AB  no  VLT/FORS2                         (4)
SLSN-I_SSS120810  I     22.47  0.07  AB  no  VLT/FORS2                         (4)
SLSN-I_SSS120810  z     22.43  0.14  AB  no  VLT/FORS2                         (4)
SLSN-I_SSS120810  J     23.11  0.14  AB  no  VLT/HAWK-I                        (4)
SLSN-I_SSS120810  Ks    23.38  0.24  AB  no  VLT/HAWK-I                        (4)
SLSN-II_CSS100217 u     18.21  0.01  AB  no  SDSS                              (4)
SLSN-II_CSS100217 g     17.88  0.01  AB  no  SDSS                              (4)
SLSN-II_CSS100217 r     17.65  0.01  AB  no  SDSS                              (4)
SLSN-II_CSS100217 i     17.35  0.01  AB  no  SDSS                              (4)
SLSN-II_CSS100217 z     17.34  0.02  AB  no  SDSS                              (4)
SLSN-II_CSS100217 J     17.34  0.02  AB  no  CAHA/Omega2000                    (4)
SLSN-II_CSS100217 H     17.17  0.08  AB  no  2MASS                             (4)
SLSN-II_CSS100217 UVW2  19.57  0.07  AB  no  Swift/UVOT                        (4)
SLSN-II_CSS100217 UVM2  19.57  0.09  AB  no  Swift/UVOT                        (4)
SLSN-II_CSS100217 UVW1  19.24  0.07  AB  no  Swift/UVOT                        (4)
SLSN-II_CSS121015 g     24.02  0.06  AB  no  Magellan/IMACS                    (4)
SLSN-II_CSS121015 g     23.55  0.44  AB  no  VLT/FORS2                         (4)
SLSN-II_CSS121015 r     23.40  0.05  AB  no  Magellan/IMACS                    (4)
SLSN-II_CSS121015 R     23.33  0.13  AB  no  VLT/FORS2                         (4)
SLSN-II_CSS121015 i     23.24  0.08  AB  no  Magellan/IMACS                    (4)
SLSN-II_CSS121015 J     23.15  0.22  AB  no  Magellan/FourStar                 (4)
SLSN-II_CSS121015 Ks    22.71  0.29  AB  no  VLT/HAWK-I                        (4)        
SLSN-II_PTF10fel  u     21.52  0.42  std no  SDSS                              (1)
SLSN-II_PTF10fel  B     21.46  0.04  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10fel  g     20.75  0.07  std no  SDSS                              (1)
SLSN-II_PTF10fel  V     20.44  0.03  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10fel  r     20.07  0.05  std no  SDSS                              (1)
SLSN-II_PTF10fel  R     20.00  0.09  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10fel  i     19.92  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10fel  z     19.32  0.17  std no  SDSS                              (1)
SLSN-II_PTF10fel  J     18.46  0.02  std no  KeckI/MOSFIRE                     (1)
SLSN-II_PTF10fel  W1    17.23  0.08  std no  WISE                              (2)
SLSN-II_PTF10fel  W2    16.84  0.20  std no  WISE                              (2)
SLSN-II_PTF10qaf  u     23.29  0.07  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qaf  B     23.28  0.03  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qaf  g     22.64  0.13  std no  SDSS                              (1)
SLSN-II_PTF10qaf  r     21.64  0.09  std no  SDSS                              (1)
SLSN-II_PTF10qaf  R     21.80  0.09  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qaf  i     21.51  0.12  std no  SDSS                              (1)
SLSN-II_PTF10qaf  z     21.35  0.03  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qaf  J     20.16  0.16  std no  KeckI/MOSFIRE                     (1)  
SLSN-II_PTF10qaf  H     19.61  0.05  std no  KeckI/MOSFIRE                     (1)
SLSN-II_PTF10qaf  Ks    19.08  0.21  std no  KeckI/MOSFIRE                     (1)      
SLSN-II_PTF10qwu  u     24.96  0.10  std no  KeckI/LRIS                        (1)  
SLSN-II_PTF10qwu  g     24.43  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qwu  V     24.13  0.07  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qwu  R     23.98  0.06  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qwu  R     23.88  0.10  std no  Keck/DEIMOS                       (1)
SLSN-II_PTF10qwu  i     23.72  0.08  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10qwu  J     22.62  0.18  std no  KeckI/MOSFIRE                     (1)
SLSN-II_PTF10scc  B     27.05  0.22  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10scc  R     26.87  0.34  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10scc  i     26.68  0.45  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF10tpz  u     17.89  0.15  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10tpz  B     16.79  0.16  std no  P60                               (1)
SLSN-II_PTF10tpz  g     16.14  0.3   std no  P60                               (1)
SLSN-II_PTF10tpz  r     15.41  0.3   std no  P60                               (1)
SLSN-II_PTF10tpz  i     14.99  0.3   std no  P60                               (1)
SLSN-II_PTF10tpz  z     14.44  0.1   std no  KeckI/LRIS                        (1)
SLSN-II_PTF10tpz  J     13.25  0.10  std no  2MASS                             (1) 
SLSN-II_PTF10tpz  H     12.56  0.10  std no  2MASS                             (1)
SLSN-II_PTF10tpz  Ks    12.04  0.04  std no  2MASS                             (1)
SLSN-II_PTF10tpz  W1    11.910 0.023 std no  WISE                              (3)
SLSN-II_PTF10tpz  W2    11.741 0.025 std no  WISE                              (3)
SLSN-II_PTF10yyc  u     23.27  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  B     22.52  0.07  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  V     21.27  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  R     20.64  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  i     20.44  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  z     20.11  0.05  std no  KeckI/LRIS                        (1)
SLSN-II_PTF10yyc  J     18.97  0.05  std no  P200/WIRC                         (1)
SLSN-II_PTF10yyc  H     18.18  0.05  std no  P200/WIRC                         (1)
SLSN-II_PTF10yyc  Ks    17.63  0.05  std no  P200/WIRC                         (1)
SLSN-II_PTF12gwu  u     25.49  0.33  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12gwu  g     24.60  0.08  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12gwu  R     23.76  0.10  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12gwu  i     24.04  0.14  std no  KeckI/LRIS                        (1)    
SLSN-II_PTF12mkp  g     26.29  0.26  std no  KeckI/LRIS                        (1)
SLSN-II_PTF12mkp  R     25.12  0.27  std no  KeckI/LRIS                        (1)
SLSN-II_PTF12mkp  i     25.40  0.44  std no  KeckI/LRIS                        (1) 
