Host           band    mag     magerr   system      extinction      source      ref
LGRB-SN_150518A   J     19.78  0.03  std no  Magellan/FourStar                 (1)
LGRB-SN_150818A   g     22.30  0.16  std no  P60                               (1)
LGRB-SN_150818A   r     22.10  0.20  std no  P60                               (1)
LGRB-SN_150818A   i     21.70  0.20  std no  P60                               (1)
LGRB-SN_150818A   z     > 21.30      std no  P60                               (1)
LGRB-SN_150818A   3.6   21.89  0.05  AB  no  Spitzer/IRAC                      (1)    
LGRB-SN_161219B   g     21.24  0.08  AB  yes PS1                               (23) 
LGRB-SN_161219B   r     20.62  0.07  AB  yes PS1                               (23)
LGRB-SN_161219B   i     20.63  0.08  AB  yes PS1                               (23)
LGRB-SN_161219B   z     20.21  0.12  AB  yes PS1                               (23)
LGRB-SN_161219B   y     20.06  0.26  AB  yes PS1                               (23)
LGRB-SN_161219B   3.6   20.70  0.02  AB  no  Spitzer/IRAC                      (1)      
LGRB-SN_171205    FUV   18.60  0.12  std no  GALEX                             (26)
LGRB-SN_171205    NUV   18.12  0.04  std no  GALEX                             (26)
LGRB-SN_171205    g     15.92  0.01  std no  PS1                               (1)
LGRB-SN_171205    r     15.35  0.01  std no  PS1                               (1)
LGRB-SN_171205    i     15.09  0.01  std no  PS1                               (1)
LGRB-SN_171205    z     14.93  0.01  std no  PS1                               (1)
LGRB-SN_171205    y     14.69  0.03  std no  PS1                               (1)
LGRB-SN_171205    J     13.605 0.096 std no  2MASS                             (27)
LGRB-SN_171205    H     12.958 0.127 std no  2MASS                             (27)
LGRB-SN_171205    Ks    12.331 0.142 std no  2MASS                             (27)
